GPA,study_hours_per_day,class_attendance_percent,sleep_hours,screen_time_hours,social_media_hours,gaming_hours,exercise_hours_per_week,exam_preparation_days,extracurricular_hours_per_week,final_exam_score,assignment_score
3.81,4.2,96,6.2,3.9,3.3,0,2.1,15,7.6,100,100
3.46,3.3,94,6.6,4.9,3.2,2.7,5,11,5.2,100,83
4,4.5,100,6.3,3.7,1.4,0,2.6,12,4.6,100,100
3.77,5.8,97,7.1,6.9,3.7,2.1,3.2,11,4,100,98
4,3.1,96,8.4,4.8,0.6,0,4.4,15,1.4,100,94
4,3.1,96,6.1,5.6,1.8,3.9,2.9,13,1.7,96,94
4,5.9,100,8.2,1.6,0,0.5,0,22,3.8,100,97
3.5,4.7,89,6.1,7.7,5.1,1.7,5.1,10,0,100,93
3.72,2.8,90,6,5.6,2.5,2.7,5.5,21,4.7,100,100
3.47,4.3,100,8,8.8,6.1,0.1,0,3,4.1,92,99
3.24,2.8,80,8.1,6.7,4,1.6,0.9,14,4.2,100,81
3.57,2.8,73,8,4.4,3.5,1.1,7,4,5.3,92,88
3.51,3.9,100,5.4,3.5,1.9,2.8,3.5,7,1.2,100,94
2.71,0.6,77,6.4,3.7,1.2,2.8,3,7,5.6,74,87
2.93,0.9,71,8,2.9,3.6,2,2.1,7,6.1,92,85
3.45,2.7,84,7,6.5,2.7,0,0.9,9,2,100,99
3.3,2,85,5.7,2.2,0.8,0.8,2.6,23,1.5,96,98
4,4,100,7.5,4.3,0.5,1.4,4.9,8,5,100,100
2.97,2.1,72,6.1,5.1,1.4,3.1,3,4,0.3,87,67
2.6,1.4,74,9.2,7.8,5.5,0,4.2,14,4.2,87,75
3.98,5.7,100,8.9,10.3,6.1,1.2,6.5,13,3,100,93
4,3.2,98,7.7,7,3.1,3.2,1.8,23,7.4,96,100
4,3.6,100,8.6,5.6,3,1.2,3.6,12,0,98,100
3.36,1.4,83,7.1,4.8,2.3,1.5,5,1,6.6,72,99
3.99,2.7,94,7.9,5.7,1.4,0,1.1,10,3.8,100,100
3.77,3.7,90,8.8,8.2,4.9,0.9,3.4,10,6,98,97
3.24,1.8,72,7.3,9.9,5.6,2.2,6.7,6,2.8,97,84
4,4.1,100,6.7,1.6,1.5,0.5,2.3,9,3.4,100,100
3.01,2.6,78,5,5.8,2.7,0,5.1,11,2.5,100,77
3.96,3.1,94,6.9,3.2,2.1,0.3,2.7,12,1.9,100,92
